epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,9162.54,1.21772,0.79687,0.95875,0.73731,0.78175,0.7888,0.51886,1.09012,0.71779,0.95011,0.0007955,0.0007955,0.0007955
75,9288.14,1.22957,0.80027,0.96147,0.75963,0.75811,0.79456,0.51858,1.08233,0.72837,0.9464,0.000779,0.000779,0.000779
76,9412.26,1.23439,0.81019,0.96853,0.76093,0.7349,0.78849,0.50994,1.11366,0.73721,0.94548,0.0007625,0.0007625,0.0007625
77,9536.3,1.22804,0.80569,0.96511,0.74743,0.74656,0.78252,0.50959,1.10317,0.72751,0.94518,0.000746,0.000746,0.000746
78,9657.68,1.22843,0.80199,0.96197,0.74846,0.75756,0.78931,0.51904,1.08205,0.71667,0.9452,0.0007295,0.0007295,0.0007295
79,9778.47,1.23088,0.80321,0.95976,0.73891,0.7691,0.7899,0.51772,1.07962,0.71439,0.9426,0.000713,0.000713,0.000713
80,9898.12,1.22215,0.80422,0.96176,0.73779,0.76526,0.79256,0.5244,1.0731,0.71746,0.94498,0.0006965,0.0006965,0.0006965
81,10018.4,1.2125,0.7764,0.9578,0.75369,0.75976,0.79577,0.52218,1.07471,0.71719,0.94355,0.00068,0.00068,0.00068
82,10137.1,1.2034,0.76744,0.95243,0.75629,0.75576,0.79128,0.50875,1.13371,0.7184,0.95096,0.0006635,0.0006635,0.0006635
83,10256.5,1.20235,0.77351,0.95413,0.74154,0.7746,0.79205,0.51917,1.09711,0.71453,0.95036,0.000647,0.000647,0.000647
84,10374.6,1.21088,0.77612,0.95436,0.74237,0.7699,0.79202,0.52672,1.07534,0.70487,0.94576,0.0006305,0.0006305,0.0006305
85,10493.3,1.21278,0.77138,0.95137,0.75204,0.75646,0.79384,0.52139,1.09541,0.71191,0.94616,0.000614,0.000614,0.000614
86,10611.1,1.21787,0.77091,0.95639,0.72339,0.77185,0.78976,0.51666,1.09214,0.7177,0.94716,0.0005975,0.0005975,0.0005975
87,10728.7,1.18212,0.75996,0.95055,0.7341,0.7604,0.78445,0.51368,1.09387,0.72572,0.94838,0.000581,0.000581,0.000581
88,10844.8,1.18953,0.76042,0.95202,0.73487,0.77075,0.79208,0.53001,1.0485,0.70304,0.94074,0.0005645,0.0005645,0.0005645
89,10962.4,1.19251,0.75219,0.94937,0.73888,0.77313,0.79127,0.51948,1.09272,0.71021,0.94353,0.000548,0.000548,0.000548
90,11079.3,1.20074,0.77128,0.95212,0.72638,0.78081,0.79704,0.52602,1.05772,0.71075,0.93958,0.0005315,0.0005315,0.0005315
91,11195.8,1.19216,0.76042,0.95556,0.73628,0.76897,0.7917,0.53106,1.04264,0.69846,0.93869,0.000515,0.000515,0.000515
92,11312.5,1.19011,0.75277,0.94936,0.75136,0.7713,0.79224,0.52194,1.07767,0.70733,0.94102,0.0004985,0.0004985,0.0004985
93,11426.8,1.18328,0.7456,0.94882,0.74065,0.76581,0.78894,0.52078,1.07467,0.70966,0.94396,0.000482,0.000482,0.000482
94,11541.2,1.17337,0.74593,0.944,0.74217,0.76086,0.79389,0.52525,1.06772,0.70263,0.93924,0.0004655,0.0004655,0.0004655
95,11655.5,1.16788,0.74501,0.94314,0.75366,0.75519,0.7969,0.52927,1.06323,0.6968,0.94022,0.000449,0.000449,0.000449
96,11769.3,1.16951,0.74133,0.945,0.75011,0.75701,0.78852,0.5233,1.06535,0.708,0.94482,0.0004325,0.0004325,0.0004325
97,11883.7,1.15212,0.73452,0.94179,0.75842,0.74386,0.79085,0.51879,1.08727,0.70457,0.9459,0.000416,0.000416,0.000416
98,11997.6,1.14398,0.72858,0.94845,0.76494,0.74601,0.79421,0.53046,1.04947,0.69185,0.94142,0.0003995,0.0003995,0.0003995
99,12110.5,1.1378,0.72512,0.93717,0.74032,0.76361,0.79344,0.52367,1.08256,0.69711,0.94443,0.000383,0.000383,0.000383
100,12222.3,1.13482,0.72584,0.93876,0.76023,0.75811,0.79639,0.52726,1.07167,0.69722,0.94418,0.0003665,0.0003665,0.0003665
101,12334.3,1.11314,0.71978,0.93642,0.75965,0.75237,0.7936,0.52753,1.06635,0.69609,0.93991,0.00035,0.00035,0.00035
102,12445.9,1.10572,0.71469,0.93197,0.76363,0.75481,0.79745,0.53102,1.0625,0.68709,0.94295,0.0003335,0.0003335,0.0003335
103,12558,1.07584,0.70866,0.92532,0.75294,0.76306,0.79995,0.53421,1.04992,0.68165,0.94041,0.000317,0.000317,0.000317
104,12670.7,1.08621,0.71487,0.92975,0.75496,0.76636,0.80067,0.53238,1.05046,0.6844,0.94087,0.0003005,0.0003005,0.0003005
105,12782.7,1.07971,0.70254,0.92932,0.75395,0.77185,0.79933,0.53722,1.03717,0.68027,0.93668,0.000284,0.000284,0.000284
106,12888.1,1.1112,0.71354,0.96438,0.74402,0.76306,0.7914,0.52313,1.07372,0.70195,0.94458,0.0002675,0.0002675,0.0002675
107,12990,1.09254,0.69291,0.95793,0.75731,0.74162,0.79124,0.5214,1.08597,0.70439,0.94285,0.000251,0.000251,0.000251
108,13092.3,1.10195,0.7001,0.958,0.7369,0.7746,0.79366,0.52398,1.07047,0.69646,0.94166,0.0002345,0.0002345,0.0002345
109,13194.8,1.08868,0.68865,0.96235,0.76149,0.75823,0.80002,0.53204,1.0539,0.68506,0.93958,0.000218,0.000218,0.000218
110,13297,1.07036,0.68773,0.94993,0.75354,0.76311,0.79411,0.53001,1.04832,0.68723,0.94094,0.0002015,0.0002015,0.0002015
111,13399.5,1.07331,0.6807,0.94678,0.76612,0.74327,0.79428,0.53137,1.04646,0.67973,0.93847,0.000185,0.000185,0.000185
112,13501.8,1.08303,0.68146,0.95579,0.76506,0.74653,0.79331,0.52927,1.04973,0.68478,0.93867,0.0001685,0.0001685,0.0001685
113,13603.6,1.07791,0.67652,0.95549,0.76514,0.74326,0.79465,0.52916,1.04847,0.68245,0.94062,0.000152,0.000152,0.000152
114,13705.8,1.06115,0.66677,0.94603,0.7734,0.74766,0.79589,0.53027,1.04415,0.68261,0.93784,0.0001355,0.0001355,0.0001355
115,13807.9,1.06267,0.67026,0.95178,0.77441,0.74732,0.79628,0.52956,1.05784,0.68272,0.93865,0.000119,0.000119,0.000119
116,13909.6,1.05965,0.67251,0.94716,0.77235,0.73997,0.795,0.52976,1.05036,0.6852,0.93934,0.0001025,0.0001025,0.0001025
117,14011.8,1.05145,0.66253,0.95248,0.76679,0.74931,0.79876,0.5337,1.03915,0.68018,0.93655,8.6e-05,8.6e-05,8.6e-05
118,14114.1,1.0538,0.66079,0.94434,0.77026,0.74281,0.7985,0.53572,1.03752,0.67819,0.93677,6.95e-05,6.95e-05,6.95e-05
119,14216.5,1.05181,0.65384,0.94547,0.77826,0.73667,0.79827,0.53887,1.02629,0.67897,0.9372,5.3e-05,5.3e-05,5.3e-05
120,14320.9,1.04545,0.65448,0.94319,0.7756,0.73832,0.79775,0.53742,1.03393,0.67718,0.93723,3.65e-05,3.65e-05,3.65e-05
